Название,Цена
Lenovo IdeaPad S340-15 Black (81N800X1RA),"14 999,00 грн"
HP Pavilion 15-bc540ur Shadow Black/Green Chrome (8PN76EA),21 323
Acer Aspire 5 A515-43 Black (NX.HF4EU.001),12 955
Xiaomi Mi Notebook Pro 15.6 i5 10th 8/1TB MX250 (JYU4192CN),28 695
HP ProBook 450 G7 Silver (6YY23AV_V2),18 614
ASUS Transformer Book T100TA (T100TA-DK002H),"2 310,00 грн"
"Apple MacBook Pro 15"" with Retina display (MGXC2) 2014","32 280,00 грн"
Vinga Iron S140 (S140-P508256G),9 527
"Apple MacBook Pro 13"" Space Gray 2018 (MR9R2)",45 603
"Apple MacBook Pro 15"" Space Gray 2018 (MR942)",61 483
ASUS VivoBook K570UD (K570UD-ES76),26 405
Samsung Notebook 9 Pro (NP930MBE-K01US),26 340
ASUS VivoBook 15 X512FJ Coral Crush (X512FJ-BQ378),16 792
Lenovo IdeaPad S145-15IWL Black (81MV0158RA),14 074
ASUS ROG Zephyrus S GX531GM (GX531GM-DH74),38 934
ASUS ZenBook Flip 15 UX563FD (UX563FD-A1041T),48 379
ASUS VivoBook S14 S431FL Gun Metal (S431FL-EB059),21 076
Dell XPS 15 7590 (7590-7YK98Y2),"39 999,00 грн"
Dell G3 15 3590 (3590FIi58S2H11050-LBK),22 687
Acer NITRO 5 AN517-51-56YW (NH.Q5WAA.001),"23 036,00 грн"
Microsoft Surface Laptop 3 (V4C-00001),30 588
"Apple MacBook Pro 13"" Silver 2020 (MXK72)",45 991
"Apple MacBook Pro 15"" Space Gray (MLH32) 2016",44 210
Google Pixelbook 512GB (GA00124-US),25 562
Acer Swift 3 SF314-41G Silver (NX.HF0EU.018),"14 999,00 грн"
Lenovo Legion Y540-15 (81SY007CPB),"24 030,00 грн"
Lenovo ThinkPad E595 (20NF001VRT),14 000
HP Pavilion Gaming 17-cd0047ur (7QE59EA),33 532
HP Pavilion 15-cs2036ur Blue (7NF65EA),"12 999,00 грн"
ASUS X543UB Star Gray (X543UB-DM1419),10 007
Acer Swift 1 SF114-32-P9Q7 Gold (NX.GXREU.012),13 409
Acer Aspire 3 A317-32 (NX.HF2EU.010),11 317
Vinga Iron S140 (S140-P508256G),9 527
Lenovo V155-15API Iron Gray (81V5000URA),10 305
Dell G7 7790 (G7790FI916S5D208W-9GR),82 732
Lenovo IdeaPad L340-17IRH Gaming Black (81LL00AKRA),21 575
HP Probook 450 G7 Silver (9HP72EA),22 696
Acer Aspire 3 A315-34-C2X7 Black (NX.HE3EU.02L),"5 599,00 грн"
HP 14-ds0080nr (6ZC07UA),6 595
"Apple MacBook Pro 13"" with Retina display (ME864) 2013",15 673
Dell Inspiron 3573 (I35C45DIL-70),5 306
Lenovo V720-14 (80Y10006US),17 514
Acer Chromebook Spin 15 CP315-1H-P8QY (NX.GWGAA.003),7 671
ASUS VivoBook 15 X512FJ Slate Grey (X512FJ-EJ159),15 849
ASUS X407UA Star Gray (X407UA-EK740),7 664
HP 250 G7 Dark Silver (6MP86EA),8 376
Lenovo IdeaPad L340-15 Gaming (81LK00GBRA),22 439
Lenovo Legion Y540-17 (81Q40007US),37 218
HP 250 G7 Dark Gray (8MJ04EA),15 769
Razer Blade 15 (RZ09-03006E92-R3U1),55 573
Dell XPS 13 7390 Silver (X3716S3NIW-68S),62 717
Lenovo IdeaPad 330-15 Onyx Black (81FK00KMRA),"16 999,00 грн"
Acer Aspire 3 A315-53 (NX.H38EU.060),"8 999,00 грн"
Acer Aspire 3 A317-51 (NX.HLYEU.00A),16 562
ASUS VivoBook 17 X705UB Grey (X705UB-BX305),8 772
Microsoft Surface Pro 7 Black (QWW-00001),40 363
Microsoft Surface Laptop 3 Platinum (VEF-00001),41 532
Vinga Iron S140 (S140-P508256G),9 527
Lenovo IdeaPad S340-14IWL Onyx Black (81N700UYRA),"11 999,00 грн"
HP 15s-fq1020ur Gold (8RV97EA),18 986
"Apple MacBook Pro 13"" Space Gray 2019 (5UHP2)",37 755
Xiaomi Mi Notebook Lite 15.6 2019 Intel Core i7 MX110 16/256GB Grey (JYU4162CN),22 193
ASUS X543MA Silver (X543MA-DM584),8 072
ASUS X543MA Silver (X543MA-DM898),9 050
HP OMEN 15-dc1008ua (8PV24EA),"26 999,00 грн"
"Apple MacBook Air 13"" (MD760) 2013","16 140,00 грн"
"Apple MacBook Pro 15"" with Retina display (ME293) 2013","25 555,00 грн"
HP 250 G7 Dark Ash Silver (7QL27ES),11 546
Vinga Twizzle J116 (J116-P50464GWP),7 773
HP 250 G7 Dark Silver (6HL16EA),15 315
Acer Aspire 3 A315-53 (NX.H38EU.044),6 571
ASUS TUF Gaming FX705DY (FX705DY-RS51),"22 700,00 грн"
Acer Aspire 3 A315-55G-3046 Black (NX.HNSEU.00H),13 151
Lenovo Legion Y540-17 (81T3004ARA),29 165
"Xiaomi Mi Notebook Air 12,5 M3 4/256G Silver (JYU4117CN)",16 566
Acer Nitro 5 AN517-51-53LH Black (NH.Q5CEU.043),"25 705,00 грн"
HP Pavilion 15-cw1015ur Silver (7QA67EA),12 993
HP 14-DK0002DX (7GZ76UA),7 151
HP 17-ca1022ur (8PN51EA),13 494
HP 15-db1116ur Black (7SH84EA),16 064
ASUS ROG Strix Scar III G731GW (G731GW-H6181R),"79 056,00 грн"
Acer Aspire 3 A317-51G (NX.HM0EU.00K),17 915
Vinga Iron S140 (S140-P508256G),9 527
Lenovo V340-17IWL (81RG000SRA),10 585
Lenovo V340-17IWL (81RG000MRA),15 473
ASUS M509DA Slate Gray (M509DA-EJ073),"8 999,00 грн"
Dell G3 17 3779 (G3758S2NDL-60B),21 965
ASUS ROG Zephyrus M GU502GV (GU502GV-AZ070),54 669
Lenovo IdeaPad 330S-15IKB Platinum Grey (81F501KGRA),15 756
Lenovo IdeaPad S540-15IML Abyss Blue (81NG0093RA),22 533
Acer Nitro 5 AN515-43-R0YM (NH.Q5YAA.001),19 910
Acer Swift 3 SF314-57-59WU Grey (NX.HJGEU.002),"24 797,00 грн"
HP Envy x360 13-aq1185nr (8LK67UA),25 873
HP Pavilion 15-cw1010ua (8RV98EA),13 347
HP Pavilion 15-cs2046ur Mineral Silver (7SC60EA),20 546
HP 340S G7 Silver (9TX21EA),17 014
HP Elite x2 G4 (5ZP10AV_ITM1),41 165
ASUS ZenBook Pro 15 UX550GD (UX550GD-BN019R),"33 599,00 грн"
ASUS VivoBook S15 S530UA (S530UA-BQ316T),16 682
HP Stream 14-ds0003dx (6ZB83UA),5 491
ASUS VivoBook Pro 15 N580VD (N580VD-DB74T),"21 815,00 грн"
Acer Predator Helios 300 PH315-51-78NP (NH.Q3FAA.001),31 966
Dell G3 15 3579 (G3579-5467BLK-PUS),22 861
Dell Inspiron 3582 Black (I3582PF4S1DIL-BK),7 035
ASUS ZenBook S13 UX392FN Blue (UX392FN-AB009T),42 179
ASUS X571GT (X571GT-AL272),21 348
Dell Inspiron 3581 Black (N2104BVN3581EMEA01_2001_RAIL),11 600
Vinga Iron S140 (S140-P508256G),9 527
Acer Predator Triton 500 PT515-51-71VV (NH.Q50AA.001),44 560
Lenovo IdeaPad D330-10IGM Mineral Grey (81H300J0RA),10 815
HP Envy x360 15m-dr1011dx (7UU06UA),24 556
Xiaomi RedmiBook 14 i7 8th 8/512Gb/MX250 Silver (JYU4152CN),20 925
ASUS ZenBook 15 UX534FTC Silver (UX534FTC-A9097T),38 768
Lenovo Chromebook S345-14 Black (81WX0000UX),5 776
Dell Inspiron 15 5591 (N25591DSWDH),19 766
HP 15s-eq0005ur Silver (8PK76EA),19 680
HP 15-db1009ua Silver (8BS48EA),8 662
HP ProBook 445R G6 Silver (7HW15AV_V4),25 677
HP 15s-eq0009ua (9ZA37EA),"10 599,00 грн"
"Apple MacBook Air 13"" Silver 2020 (Z0YK0002L)",56 740
Lenovo V15-IKB Iron Grey (81YD0018RA),9 644
ASUS ZenBook Flip 15 UX562FD (UX562FD-A1011T),32 909
Dream Machines Clevo RT2070-17 (RT2070-P960RF),46 912
"Apple MacBook Pro 15"" with Retina display (MGXA2) 2014","29 590,00 грн"
"Apple MacBook Pro 13"" with Retina display (MF843) 2015","34 432,00 грн"
"Apple MacBook Pro 15"" with Retina display (MJLU2) 2015",69 093
ASUS ROG GL753VE (GL753VE-IS74),"28 572,00 грн"
Xiaomi Mi Notebook Pro 15.6 Intel Core i7 16/256 GB (JYU4034CN),35 999
Lenovo ThinkPad T480 (20L5000WUS),16 800
Lenovo V130-15 Iron Grey (81HN00S7RA),7 162
ASUS X509FJ (X509FJ-EJ153),13 080
ASUS ZenBook 14 UX433FN (UX433FN-IH74),29 115
Vinga Iron S140 (S140-P508256G),9 527
Lenovo IdeaPad L340-15 Gaming (81LK00B2PB),21 288
HP 250 G7 (8AC83EA),10 440
ASUS VivoBook 15 X512FJ (X512FJ-BQ495),19 976
HP 255 G7 Silver (7DF20EA),"10 999,00 грн"
Lenovo Yoga 730-13IKB (81CT001PUS),23 990
Lenovo IdeaPad S145-15IWL Black (81MV0151RA),5 724
Dell Inspiron 5593 Silver (I55716S3NIW-76S),28 617
Acer Swift 3 SF314-57G Gray (NX.HJEEU.016),26 380
Lenovo Legion Y545-15 (81Q60002US),38 484
Lenovo V155-15API (81V50011RA),8 732
ASUS X543UA (X543UA-DM2051),"13 999,00 грн"
Razer Blade 15 (RZ09-02886EM2),58 342
"Apple MacBook Pro 15"" Space Gray 2019 (FR932)","48 465,00 грн"
Lenovo IdeaPad S145-15 (81MV01HCRA),8 064
Dell XPS 13 7390 (XN7390DXCRS),20 758
Lenovo IdeaPad 330-15 (81D600M1RA),7 148
ASUS ROG Zephyrus S (GX701GX-EV048AT),65 643
ASUS VivoBook S15 S530UA Green (S530UA-DB51-GN),20 052
Acer Aspire 3 A315-53 (NX.H38EU.024),9 477
Lenovo Yoga 730-13IKB (81CT001SUS),25 120
ASUS X409UJ Slate Gray (X409UJ-EK016),10 636
ASUS X571GT (X571GT-AL271),21 048
HP 250 G7 (6MQ39EA),7 193
Lenovo IdeaPad 730S-13IWL (81JB000AUS),20 030
Vinga Iron S140 (S140-P508256G),9 527
HP Pavilion Gaming 15-dk0027ur Black (7QE63EA),"19 499,00 грн"
ASUS VivoBook 14 E406SA (E406SA-SB01),7 294
Dell G3 15 3590 Black (3590FIi716S2H11650-LBK),32 773
Acer Aspire 3 A315-54K-52ZT (NX.HEEEU.034),11 025
ASUS ZenBook 15 UX534FTC Royal Blue (UX534FTC-A8095T),38 766
ASUS ROG Zephyrus M GU502GU (GU502GU-XH74-BL),"39 599,00 грн"
ASUS TUF Gaming TUF705DU (TUF705DU-RB74),34 182
Dell Vostro 15 7590 (VOS13351364SA),43 077
ASUS M509DA (M509DA-EJ160),11 078
ASUS M509DJ (M509DJ-BQ021),15 093
HP ProBook 450 G7 Silver (6YY26AV_V4),24 992
MSI GS75 Stealth 10SFS Black (GS7510SFS-039UA),91 959
Razer Blade Pro 17 black (RZ09-02878E92-R3U1),76 942
Lenovo Legion Y540-15 (81SX000SUS),34 018
Lenovo Legion Y540-15 (81SX0005US),35 122
"Apple MacBook Pro 13"" Silver (MPXU2, 5PXU2) 2017",34 298
MSI GP63 8RE Leopard (GP638RE-077US),29 041
ASUS VivoBook Max X541NA (X541NA-PD1003Y),6 193
Acer Swift 1 SF114-32-P1AT Pink (NX.GZLEU.010),"11 999,00 грн"
Acer Aspire 3 A315-41G-R8SC (NX.GYBEU.014),11 582
HP Omen 15-dc1002ua Black (6VT18EA),"33 999,00 грн"
Lenovo Legion Y740-15 (81UH006CRA),83 507
Dell XPS 13 9370 (D8495S2),22 727
Acer Aspire 3 A315-32-C6P0 (NX.GVWEU.017),5 749
Vinga Iron S140 (S140-P508256G),9 527
"Apple MacBook Air 13"" Gold 2018 (MREE2, 5REE2)",26 032
HP Pavilion Gaming 15-dk0023ur Black (7PV60EA),29 770
HP Omen 15-CE198WM (3VT96UA),32 168
Lenovo IdeaPad L340-15 (81LK00E6PB),"19 656,00 грн"
Acer Swif 5 SF515-51T-73TY (NX.H7QAA.002),"28 665,00 грн"
Xiaomi Mi Notebook Air 13.3 i7 8/512Gb MX250 Silver 2019 (JYU4150CN),24 991
HP 250 G7 Dark Ash Silver (8AB66ES),13 669
HP 15-dw0036wm (7GR60UA),9 326
Dell Inspiron 14 3493 (I3493-3464BLK-PUS),"11 325,00 грн"
HP 250 G7 Dark Ash Silver (6UL19EA),10 079
Dell XPS 15 7590 (INS330146SA),55 172
Lenovo IdeaPad L340-17 Gaming Black (81LL005URA),23 513
Dell Inspiron 3582 Black (I35P54S1NIL-73B),6 842
ASUS X543UA Gray (X543UA-DM1898),8 005
Lenovo IdeaPad S340-14 (81NB007KRA),11 981
HP 17-ca1027ur (8RR87EA),13 273
HP 17-ca1011ur (6RL05EA),15 241
HP Pavilion 15-cw1005ur (6PS14EA),21 566
ASUS VivoBook S15 S532FA (S532FA-DB55-PK),21 222
Lenovo IdeaPad S145-15IWL Black (81MV0153RA),7 050
MSI GP65 9SD Leopard (GP659SD-226US),37 290
ASUS TUF Gaming FX505DT (FX505DT-AH51),"21 725,00 грн"
Acer Aspire 5 A515-54-79J5 (NX.HDJAA.003),17 617
ASUS VivoBook 17 X712FA Silver (X712FA-BX379),11 326
Vinga Iron S140 (S140-P508256G),9 527
Dell G7 7790 (G77916S3NDW-61G),78 413
Dell Latitude 3500 (N179L350015ERC_W10),19 019
ASUS VivoBook S15 S531FL Gun Metal (S531FL-BQ509),22 699
HP 15-db1014ua (8RW27EA),11 172
Acer Swift 3 SF314-58 (NX.HPMEU.00C),17 209
ASUS ROG Strix Scar III G731GW (G731GW-DB76),56 485
Lenovo Yoga C740-15IML (81TD0006US),22 987
HP Elite Dragonfly Blue (9FT26EA),65 233
HP ProBook 450 G7 Silver (6YY28AV_V15),28 089
Acer Aspire 3 A317-32 Black (NX.HF2EU.014),11 059
ASUS ROG Strix G GL731GT (GL731GT-PH74),35 724
"Apple MacBook Air 13"" (MMGF2) 2016",21 625
ASUS X556UQ (X556UQ-DM986D) Dark Brown,"5 595,00 грн"
Dell XPS 13 9370 (XPS9370-7170GLD-PUS),"29 590,00 грн"
HP 250 G7 Dark Ash Silver (6MQ32EA),12 003
ASUS ROG Zephyrus GX501GI (GX501GI-XS74),44 924
ASUS VivoBook 15 X512UB Blue (X512UB-EJ157),10 066
Lenovo IdeaPad 330-17 (81FL007YRA),23 301
Lenovo Legion Y545-15 (81Q6000QUS),40 365
Vinga Twizzle Pen J133 (J133-C33464PSWP),"7 777,00 грн"
HP 250 G7 Dark Ash (6MP94EA),8 420
Lenovo IdeaPad C340-14IWL Abyss Blue (81N400MWRA),19 961
HP 250 G7 Asteroid Silver (6MQ25EA),13 051
"Apple MacBook Pro 15"" Silver 2019 (MV932)",71 831
Vinga Iron S140 (S140-P508256G),9 527
ASUS ROG Strix SCAR II GL704GW (GL704GW-EV004AT),49 024
"Apple MacBook Pro 15"" Space Gray 2019 (Z0WW001HJ, Z0WW001L3, Z0WV00078)",98 988
HP 250 G6 (7QL94ES),7 626
Acer Swift 3 SF314-41-R1C9 Glacier Blue (NX.HFEEU.034),"13 499,00 грн"
HP 250 G7 (8AC84EA),12 253
ASUS ROG Strix G G531GT Black (G531GT-BQ132),"26 541,00 грн"
MSI Prestige 14 A10SC (A10SC-021US),44 741
ASUS X543MA (X543MA-GQ571T),6 765
Acer Aspire 3 A315-55-303W Black (NX.HNSEU.00B),12 643
Dell Inspiron 3595 (I3595A64H5NIL-7BK),6 207
"Apple MacBook Pro 13"" Space Gray 2019 (Z0W4000CJ,Z0W4000MY,Z0W60002U)",51 212
Acer Aspire 3 A317-32 (NX.HF2EU.012),12 060
Acer Aspire 3 A315-54K-53PZ (NX.HEEEU.036),11 281
Dell G3 15 3590 (G3590F716S5N166TIL-9BK),35 895
ASUS VivoBook 17 X712FB Silver (X712FB-AU234),"17 999,00 грн"
"Apple MacBook Pro 16"" Space Gray 2019 (MVVN2)",133 294
Xiaomi RedmiBook 14 i5 10th 8/512Gb/MX250 Pink (JYU4167CN),18 354
Lenovo IdeaPad L340-15IRH Gaming Black (81LK0115RA),21 965
Microsoft Surface Pro 7 Black (PVR-00018),48 136
"Apple MacBook Pro 13"" Silver 2019 (5UHQ2)",33 215
Acer Aspire 3 A315-56-34EC Red (NX.HS7EU.008),12 059
Alienware m15 (AWM15-7411SLV-PUS),41 919
Lenovo IdeaPad S145-15IWL (81MV01HBRA),7 892
Xiaomi Mi Notebook Lite 15.6 2019 Intel Core i7 16/512Gb MX110 Deep Gray...,22 618
Vinga Iron S140 (S140-P508256G),9 527
Acer Swift 3 SF314-58-5880 (NX.HPMEU.00U),21 652
Acer Nitro 5 AN515-54-76QB (NH.Q59ET.012),"31 482,00 грн"
Lenovo IdeaPad S145-15IKB Black (81VD003QRA),11 131
HP ProBook 440 G7 Silver (6XJ51AV_V1),29 770
Microsoft Surface Laptop 3 (VFL-00001),51 179
HP ProBook 450 G7 Silver (6YY28AV_V4),26 845
HP ProBook 450 G7 Silver (6YY21AV_V3),26 083
YEPO 737J4 8/128 Aluminum (YP-102390),"8 890,00 грн"
Lenovo IdeaPad L340-17IRH Gaming Black (81LL00CXGE),25 132
HP Pavilion Gaming 15-ec0004ua Black (9RH22EA),"28 999,00 грн"
MSI GS75 8SE (GS758SE-205US),44 532
ASUS M509DJ Transparent Silver (M509DJ-BQ081),16 179
ASUS ROG Zephyrus S GX531GW (GX531GW-ES020T),51 174
ASUS VivoBook Pro N705FD (N705FD-GC018T),27 816
"Apple MacBook Air 13"" (MJVG2) 2015",18 443
Acer Swift 1 SF114-32-P43A Green (NX.GZGEU.008),11 050
ASUS VivoBook S15 S510UA (S510UA-DS71),21 105
MSI GF63 Thin 9SC (GF639SC-066US),31 808
Acer Aspire 7 A715-72G-513X (NH.GXBEU.010),"19 489,00 грн"
HP Omen 17-cb0019ur Black (7QA97EA),52 380
ASUS VivoBook 15 X512UA Silver (X512UA-EJ578),8 655
HP Pavilion 15-cs2053ur Fog Blue (7WG54EA),"15 999,00 грн"
ASUS ZenBook 14 UX433FN (UX433FN-A5110T),27 594
ASUS ZenBook Pro 14 UX480FD (UX480FD-BE012T),34 986
Vinga Iron S140 (S140-P508256G),9 527
ASUS X570UD Black (X570UD-DM374),"18 999,00 грн"
Lenovo ThinkPad X1 Carbon G6 (20KH002QUS),26 559
Lenovo IdeaPad S540-14IWL Abyss Blue (81ND00GCRA),18 331
HP 250 G7 Dark Ash Silver (8MJ03EA),7 943
Lenovo Legion Y540-15 (81SX00E2RA),46 540
HP 15-dy1771ms (7NZ97UA),17 453
ASUS VivoBook 15 X512FJ Blue (X512FJ-EJ371),16 550
Lenovo V130-14IKB Iron Gray (81HQ00SJRA),13 019
ASUS ROG Strix G GL531GU (GL531GU-WB53),33 919
Dell G3 15 3590 Black (G35581S2NDL-60B),23 347
Lenovo IdeaPad S340-15IWL Platinum Grey (81N800WTRA),8 877
MSI GL65 9SC (GL65 9SC-002PL),26 072
ASUS X509FJ Grey (X509FJ-BQ366),"16 199,00 грн"
Dell Inspiron 3593 Black (I3578S3NIL-75B),19 801
Acer Aspire 3 A315-34-P4ZW (NX.HE3EU.029),9 088
Dell Vostro 3590 Black (N3503VN3590EMEA01_P),20 744
HP 15-da0466ur Jet Black (7MW74EA),9 397
Acer Aspire 5 A515-55-33A0 Silver (NX.HSMEU.002),14 308
Lenovo ThinkPad E14 Black (20RA002RRT),18 755
Lenovo ThinkPad E495 (20NE001QRT),16 270
ASUS M509DJ (M509DJ-BQ022),14 984
Lenovo IdeaPad Slim 1-14AST Blue (81VS002JRA),"6 999,00 грн"
ASUS ROG Strix G531GU (G531GU-AL164),"29 943,00 грн"
ASUS VivoBook 15 X509FA Slate Grey (X509FA-EJ707),9 055
Vinga Iron S140 (S140-P508256G),9 527
Dell Inspiron 3593 Black (3593Fi38S3IUHD-WBK),16 680
MSI GS75 Stealth 10SGS Black (GS7510SGS-038UA),106 499
HP Pavilion Gaming 17 (7GL79EA),31 579
Dell Inspiron 5482 (i5482-5025SLV-PUS),16 624
Acer Aspire 5 A515-43 Silver (NX.HGZEU.006),17 224
"Apple MacBook Pro 13"" Space Gray (MPXV2) 2017",39 815
Microsoft Surface Book 2 (HNR-00001),63 189
HP ProBook 440 G6 Silver (6BN75EA),18 864
HP 250 G6 (4LT06EA),8 726
HP Omen 17-cb0014ur Black (7AM51EA),59 555
ASUS ROG Strix Scar III G731GW (G731GW-EV022R),"54 837,00 грн"
MSI GT63 8SG TITAN (GT638SG-032US),"59 090,00 грн"
Lenovo Legion Y540-15 (81SX00EJRA),31 337
ASUS VivoBook 15 X512FJ Coral Crush (X512FJ-BQ381),18 639
ASUS ZenBook S13 UX392FN (UX392FN-XS71),33 552
Dell Inspiron 5593 (I5593F78S2ND230L-10PS),21 979
ASUS X543UA Silver (X543UA-DM1946),7 331
ASUS X407UB Gray (X407UB-EK244),8 499
Lenovo IdeaPad S340-15IWL Onyx Black (81N800WLRA),"9 799,00 грн"
Lenovo Legion Y540-15 (81SY047CPB),"24 975,00 грн"
ASUS ZenBook 14 UX434FLC (UX434FLC-A5116T),34 774
ASUS VivoBook S15 S531FA Blue (S531FA-BQ242),21 349
"Microsoft Surface Pro 7 (VDV-00003, VDV-00001)",25 442
HP Pavilion 15-cw1009ua Mineral Silver (8RU97EA),11 184
Vinga Iron S140 (S140-P508256G),9 527
HP 15-db1122ur Jet Black Mesh (8KN06EA),10 421
"Apple MacBook Pro 16"" Space Gray 2019 (Z0XZ000W4)",104 753
ASUS VivoBook R564FA (R564FA-EJ332T),16 693
HP ProBook 455R G6 (5JC17AV),16 684
HP ENVY 13-aq1002ur Silver (8FC56EA),26 981
"Apple MacBook Pro 16"" Space Gray 2019 (Z0XZ00069)",103 091
HP ENVY 17-ae105cl (8GF05UA),"38 085,00 грн"
Acer Aspire 3 A315-56-54SE Blue (NX.HS6EU.00C),14 806
HP 15s-fq0028ur Silver (7PW83EA),16 032
Alienware m17 (AWm17-7930SLV-PUS),"47 999,00 грн"
ASUS ROG Zephyrus S GX502GV (GX502GV-PB74),50 303
Acer Nitro 5 AN515-54 (NH.Q5BEP.096),"27 351,00 грн"
"Xiaomi Mi Notebook Air 12,5 m3 4/128GB Gold 2019 (JYU4115CN)",15 577
MSI GP65 Leopard 10SEK (GP6510SEK-019XUA),49 678
Acer Aspire 1 A114-32-P7E5 (NX.GVZAA.007),"5 875,00 грн"
HP Elite Dragonfly Blue (8ML05EA),56 635
HP ProBook 450 G7 Pike Silver (6YY26AV),22 035
Lenovo ThinkPad X1 Carbon G7 (20R1S04100),49 482
ASUS TUF Gaming TUF705DU (TUF705DU-PB74),34 906
"Apple MacBook Air 13"" (MD760) 2014",13 470
"Apple MacBook Air 11"" (MJVM2) 2015",19 308
Razer Blade Pro 17 (RZ09-02202E75-R3G1),"35 782,00 грн"
Acer Swift 3 SF315-52-50J6 (NX.GZ9EU.022),22 024
Acer Swift 3 SF314-52-54WX (NX.GQGEU.006),"15 399,00 грн"
Vinga Iron S140 (S140-P508256G),9 527
Toshiba Tecra C50-D1512 (PS581U-00Y01LB),13 123
Acer Nitro 5 AN515-52-57U5 (NH.Q3LEU.031),24 113
Dream Machines RG2060-15 (RG2060-15UA26),"39 013,00 грн"
Lenovo ThinkPad X1 Carbon G7 (20QD001TUS),28 582
HP 250 G7 Silver (6UK93EA),16 180
Lenovo IdeaPad S540-14 Abyssal Blue (81ND00H1RA),22 475
ASUS VivoBook 15 X512UF Slate Grey (X512UF-EJ036),"16 799,00 грн"
Lenovo IdeaPad S540-14IWL Mineral Grey (81ND00GKRA),22 034
ASUS VivoBook 15 X512FL Transparent Silver (X512FL-BQ367),21 662
Lenovo ThinkPad T490 (20N2001YUS),20 190
HP 17-by1021cl (6MW67UA),"10 435,00 грн"
Lenovo V130-15 Iron Grey (81HN00VXRA),7 622
Acer Aspire 3 A315-42G Black (NX.HF8EU.012),11 583
HP Envy 15-CN1055 x360 (6JU32UA),21 899
Lenovo IdeaPad L340-15 Gaming (81LK00GCRA),26 943
MSI GL65 9SFK (GL659SFK-424XUA),51 974
Razer Blade Pro 17 (RZ09-02876E92-R3U1),"56 599,00 грн"
HP Spectre x360 13-aw0009ur (8PN73EA),53 944
HP 255 G7 Dark Ash (7DF19EA),11 056
Lenovo IdeaPad D330-10IGM Mineral Grey (81H300HYRA),9 876
HP Pavilion 15-cw1008ua (8BP47EA),14 881
HP Pavilion 15-cw1009ur (6SQ29EA),19 314
Dell Inspiron 5490 Silver (I5478S3NDW-71S),28 555
ASUS ZenBook 14 UX434FL (UX434FL-DB77),30 555
Vinga Iron S140 (S140-P508256G),9 527
Acer Predator Triton 500 PT515-51-75L8 (NH.Q4WAA.001),68 191
Lenovo IdeaPad S340-15IWL Platinum Grey (81N800WQRA),9 089
Microsoft Surface Laptop 3 Platinum (VGS-00001),50 084
ASUS Zephyrus G GA502DU (GA502DU-PB73),31 958
HP ProBook 455R G6 (5JC19AV),20 809
Lenovo IdeaPad D330-10IGM Mineral Grey (81H300K1RA),16 266
Lenovo IdeaPad S340-15IWL (81QF0002US),14 177
Lenovo ThinkBook 13s-IML Mineral Grey (20RR002YRA),19 913
HP Pavilion 15-cs2048ur Silver (7RZ86EA),23 947
"Apple MacBook Pro 16"" Space Gray 2019 (Z0XZ000J6)",104 668
MSI GF65 THIN 9SE (GF659SE-013US),43 006
HP 15-db1000ua (7BV12EA),2 875 093
Google Pixelbook Go (GA00521-US),19 335
HP 15s-fq1003ur Silver (8KR03EA),22 977
Microsoft Surface Pro 7 Matte Black (PUV-00016),30 460
Acer Aspire 3 A315-56-5328 Black (NX.HS5EU.00G),16 063
Xiaomi RedmiBook 14 i5 8th 8/1Tb MX250 Silver (JYU4183CN),20 694
Acer Nitro 5 AN515-54 (NH.Q5BEP.095),"28 161,00 грн"
MSI GF63 Thin 9SC Black (GF639SC-415XKZ),25 314
"Microsoft Surface Pro X (QWZ-00001, MNY-00003)",32 551
ASUS VivoBook 15 X512FJ Peacock Blue (X512FJ-BQ473),19 016
HP 470 G7 Silver (9TX63EA),32 229
HP ProBook 450 G7 Silver (6YY22AV_ITM2),34 346
ASUS VivoBook S14 S431FL Blue (S431FL-AM217),24 947
Vinga Iron S140 (S140-P508256G),9 527
Lenovo ThinkPad X1 Carbon G6 (20KHS3MK00),"25 277,00 грн"
ASUS VivoBook S13 S330FA (S330FA-EY005T),19 157
Microsoft Surface Book (9E9-00005),35 636
HP ProBook 430 G7 Silver (6YX11AV_V1),20 286
HP 15-db1166ur Black (9PT88EA),18 439
Lenovo IdeaPad S740-15IRH (81NW0003US),39 099
Dell Inspiron 7580 (9J9CFT2),18 399
"Apple MacBook Pro 15"" with Retina display (ME294) 2013","29 052,00 грн"
HUAWEI Matebook D PL-W29 (53010ANQ) Space Gray,"25 299,00 грн"
HP ProBook 440 G5 (5JJ81EA),13 995
ASUS ZenBook UX331UN (UX331UN-WS51T),"18 920,00 грн"
Acer Swift 1 SF114-32-P9C8 Gold (NX.GXREU.010),12 640
"Apple MacBook Pro 15"" Silver 2018 (MR972)",66 906
Lenovo ThinkPad T490s Black (20NX003CRT),57 342
Lenovo V130-15 Grey (81HN00EPRA),"8 114,10 грн"
Lenovo IdeaPad 330-15 Platinum Grey (81DC009PRA),"12 999,00 грн"
"Xiaomi Mi Notebook Air 13,3"" i5 8/256 Fingerprint Edition Dark Gray...","21 999,00 грн"
ASUS ZenBook 13 UX333FN (UX333FN-A3065T),26 752
Lenovo IdeaPad D330-10IGM Mineral Grey (81H3002SRA),9 834
"Apple MacBook Pro 15"" Space Gray 2018 (Z0V1000YB)",58 950
HP Envy x360 15-ds0003ur Black (6PS62EA),31 925
