Название,Цена
ASUS ROG GL702VM (GL702VM-DS74),"24 299,00 грн"
HP Pavilion Gaming 15-dk0059ur Black (7PZ81EA),34 962
HP Pavilion 15-cw1043nl (6NC82EA),14 448
HP Pavilion 15-cs2040ur (7SA66EA),21 701
HP Chromebook x360 14b-ca0023dx (7PE49UA),7 880
ASUS X509FB (X509FB-BR078),15 911
Alienware m17 (AWM17-5V3LP42),43 465
Acer Aspire 3 A315-34-P8DS Black (NX.HE3EU.02W),"7 799,00 грн"
Vinga Iron S140 (S140-P508256G),9 527
ASUS Zenbook 15 UX533FD (UX533FD-NS76),37 566
Alienware m15 (AWM15-7830SLV-PUS),32 556
ASUS VivoBook 15 X512FJ Blue (X512FJ-EJ296),16 783
"Apple MacBook Pro 13"" Space Gray (MPXT2, 5PXT2) 2017",33 993
ASUS ZenBook Pro Duo 15 UX581GV (UX581GV-XB74T),75 397
Samsung Notebook Odyssey (NP850XAC-X01US),30 620
ASUS ROG Strix G G531GT (G531GT-BI7N6),30 498
ASUS ROG Strix Scar III G731GW (G731GW-EV118),53 115
"Apple MacBook Pro 15"" with Retina display (MJLT2) 2015",55 236
Dell XPS 15 9570 (XPS9570-5726SLV-PUS),34 079
Dell G5 5590 Black (G557161S2NDL-63B),39 524
Lenovo IdeaPad L340-17IRH Gaming Black (81LL00AYRA),24 007
HP Pavilion 15-bc531ur (7NE19EA),"25 949,00 грн"
ASUS VivoBook 15 X512FA Silver (X512FA-BQ1638),14 036
Xiaomi Mi Gaming Laptop 15.6 (JYU4143CN),33 407
Acer Predator Triton 900 PT917-71-78FC (NH.Q4VAA.004),108 898
ASUS TUF Gaming FX505DD (FX505DD-DR5N6),18 945
Xiaomi RedmiBook 14 i5 10th 8/256Gb MX250 Silver (JYU4169CN),18 222
ASUS ROG Strix G G731GT (G731GT-H7147),30 666
ASUS VivoBook 15 X512DA (X512DA-BQ223T),14 709
HP ENVY 13-aq0044nr (6TX95UA),31 542
Acer Swift 3 SF314-58 Silver (NX.HPMEU.00E),16 365
HP Pavilion Gaming 15-dk0061ur Black (7PY66EA),35 856
ASUS ROG Strix SCAR II GL504GS (GL504GS-DS74),37 225
Vinga Iron S140 (S140-P508256G),9 527
Lenovo IdeaPad S540-14IWL Mineral Grey (81ND00GDRA),18 286
ASUS TUF Gaming FX505DU (FX505DU-BQ034),26 635
ASUS ROG Zephyrus M GU502GW (GU502GW-AH76),56 502
Lenovo IdeaPad S540-14API (81NH004WRA),16 974
ASUS VivoBook X412UA Silver (X412UA-EK430),8 526
Lenovo IdeaPad L340-15 Gaming (81LK010NRA),21 552
ASUS ZenBook Flip 15 UX563FD (UX563FD-A1027T),49 362
"Apple MacBook Pro 13"" Space Gray 2020 (MXK52)",45 635
Xiaomi Mi Notebook Pro 15.6 Intel Core i5 8/256 GB (JYU4036CN),23 499
Dell G3 15 3579 (G35781S1NDL-60B),23 924
Acer Aspire 3 A315-42-R7YR Blue (NX.HHNEU.00C),12 429
HP 255 G7 Dark Ash Silver (6BP88ES),9 440
"Apple MacBook Pro 13"" Silver 2019 (MUHR2)",39 559
Acer Aspire 3 A315-55G-30KR (NX.HEDEU.06K),13 630
HP Pavilion 15-cs2041ur (7SF13EA),22 420
"Apple MacBook Pro 13"" Space Gray 2019 (5UHN2)",31 845
HP 15-dw0004ua Natural Silver (7DX04EA),12 278
Razer Blade Stealth 13 (RZ09-03101E72-R3U1),46 256
Dell G7 7590 (GNVCB5CR728PS),42 691
Lenovo IdeaPad L340-17IRH Gaming Black (81LL00AJRA),20 140
ASUS ZenBook 14 UX433FN Silver (UX433FN-A5238T),34 284
"Xiaomi Mi Notebook Air 13.3"" i5 8/256Gb MX250 Gray (JYU4122CN)",22 909
HP 17-ca1000ur (6HU43EA),10 282
Dell XPS 15 7590 (7590-7572SLV-PUS),52 233
Vinga Iron S140 (S140-P508256G),9 527
Lenovo Legion Y540-15 (81SY00AXRA),"25 515,00 грн"
Acer Nitro 5 AN515-54-54W2 (NH.Q5VAA.001),22 788
Lenovo Yoga 730-15IWL (81JS0087US),29 196
HP Pavilion 15-cs2025ur Mineral Silver (7GS13EA),"17 299,00 грн"
MSI Prestige 14 A10SC (A10SC-234UA),49 952
Dell Inspiron 7591 (NN7591DXEPH),26 564
ASUS ZenBook 15 UX533FN (UX533FN-RH54),25 611
ASUS X509FJ Slate Gray (X509FJ-EJ250),14 275
"Apple MacBook Pro 15"" Space Gray (MPTR2) 2017",53 615
"Apple MacBook Air 13"" Silver 2019 (MVFL2)",30 194
HP 15-bs101ua (7ZQ12EA),9 009
HP Pavilion 15-cw1005ua (7ZF75EA),2 834 137
ASUS VivoBook S15 S531FL (S531FL-BQ519),31 151
ASUS ROG Zephyrus GX501VS (GX501VS-XS71),38 052
Dell Inspiron 3583 Silver (3583N54S1IHD_LPS),7 458
Dell G3 15 3590 (G3590FI716S2H1N1650L-9BK),33 399
Lenovo IdeaPad L340-15 Gaming Black (81LK00BDRA),20 894
HP OMEN 15-dc1086nr (6UD95UA),27 791
Acer Swift 1 SF114-32-C2ZL (NX.GXUEU.004),10 346
HP 255 G7 (8MJ01EA),8 314
Lenovo IdeaPad L340-17 Gaming (81LL005XRA),"21 600,00 грн"
MSI Prestige 14 A10SC (A10SC-051US),39 676
ASUS ZenBook 14 UX433FA (UX433FA-A5046T),"23 999,00 грн"
MSI Prestige 15 A10SC (A10SC-226UA),45 683
Vinga Iron S140 (S140-P508256G),9 527
Xiaomi RedmiBook 14 i5 10th 8/512Gb/MX250 Grey (JYU4166CN),19 264
Lenovo IdeaPad S145-15 (81UT00CXRA),7 349
Acer Swift 3 SF314-42 Silver (NX.HSEEU.007),18 608
Dell Inspiron 3793 Silver (3793Fi78S3MX230-LPS),24 814
"Apple MacBook Air 13"" (MJVE2) 2015",16 423
MSI GS63 8RE Stealth (GS638RE-010US),33 117
Acer Nitro 5 AN515-53-52FA (NH.Q3ZAA.001),"21 360,00 грн"
ASUS ZenBook PRO UX580GE (UX580GE-XB74T),44 561
Dell G3 15 3590 Black (G3558S2NDL-60B),21 078
Alienware m17 R2 (wnm17r210s),34 037
ASUS ROG Strix G G731GU (G731GU-BI7N9),"44 100,00 грн"
HP 340S G7 Silver (9TX18EA),14 356
MSI GF63 Thin 9SC Black (GF639SC-1089XUA),24 355
"Apple MacBook Pro 13"" Space Gray (MLL42) 2016",28 979
ASUS ZenBook Flip UX560UQ (UX560UQ-FZ058T),21 538
Lenovo IdeaPad S340-14API Abyss Blue (81NB007LRA),13 032
HP 250 G7 (9HQ72EA),7 121
Xiaomi Mi Gaming Laptop 15.6 Black (JYU4145CN),36 958
Xiaomi RedmiBook 14 i3 8th 4/256Gb Silver (JYU4136CN),"12 560,00 грн"
"Apple MacBook Air 13"" Gold 2019 (5VFM2)",25 408
ASUS ZenBook 15 UX534FTC Royal Blue (UX534FTC-A8311T),45 869
MSI GF63 Thin 9SC (GF639SC-257US),23 108
ASUS TUF Gaming FX504GE (FX504GE-AH53),20 914
Dell XPS 13 7390 (7390-JWD99Y2),31 117
Vinga Iron S140 (S140-P508256G),9 527
ASUS VivoBook 14 X412DK (X412DK-EK038T),13 103
HP Envy x360 13-ar0009ur (8KG91EA),31 973
"Apple MacBook Pro 16"" Space Gray 2019 (Z0Y00003N)",113 557
Lenovo Legion Y540-15IRH Black (81SY00J7RA),25 547
Lenovo IdeaPad S340-14IWL Platinum Grey (81N700QNRA),10 029
ASUS M509DJ (M509DJ-BQ070),14 308
HP Pavilion Gaming 15-dk0025ur Black (7PY74EA),29 970
Lenovo Legion Y740-17 (81UJ004TUS),42 830
Lenovo IdeaPad L340-17 Gaming Black (81LL005SRA),20 115
HP ProBook 450 G6 (4TC92AV),24 736
Xiaomi RedmiBook 13 i5 10th 8/512Gb/MX250 Silver (JYU4214CN),19 330
HP 15-db1001ua Black (7BK84EA),13 606
HP Probook 440 G7 Silver (9HP80EA),30 494
HP Probook 470 G7 Silver (9HP75EA),20 755
ASUS VivoBook S15 S531FL (S531FL-BQ514),23 478
ASUS X543MA Silver (X543MA-GQ496),5 353
Lenovo IdeaPad 330-15IKBR Onyx Black (81DE02VJRA),"5 699,00 грн"
Lenovo IdeaPad L340-15 Gaming (81LK010RRA),26 491
Lenovo V155-15API Iron Gray (81V5000VRA),12 577
HP 15-db1117ur Black (7SB42EA),16 075
Lenovo Legion Y540-15 (81SY009GRA),27 284
ASUS ZenBook 14 UX431FA (UX431FA-AN012T),23 913
ASUS ZenBook 14 UX434FLC (UX434FLC-A5131T),40 956
Acer Nitro 5 AN515-54-57MG Obsidian Black (NH.Q5BEU.024),"26 500,00 грн"
Vinga Iron S140 (S140-P508256G),9 527
ASUS ZenBook 14 UX434FAC Royal Blue (UX334FAC-A3042T),31 203
Xiaomi Mi Notebook Air 13.3 i5 8/512Gb MX250 Silver 2019 (JYU4151CN),23 019
Razer Blade Stealth 13 Mercury (RZ09-03100EM1-R3U1),31 566
Dell Inspiron 3593 (3593Fi54H1MX230-LBK),13 326
Xiaomi Mi Gaming Laptop 15.6 i7 9th 16GB 1TB 1060 TI Black (JYU4202CN),37 205
ASUS ZenBook Pro 14 UX450FD Royal Blue (UX450FDA-AI77),33 299
ASUS ROG G703GX (G703GX-XB76),62 678
Acer Aspire 5 A515-43 Black (NX.HF4EU.003),13 406
ASUS ZenBook UX430UN (UX430UN-IH74-GR),25 797
"Apple MacBook Pro 13"" Silver 2019 (MV992)",48 604
